trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
103,0,103,0,5,156.10549908400026,156.10549908400026,0.009706167000331334,[-0.042222222222222223],[-0.21777777777777776],[1],[0],[0],[1.3384413330004463],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
104,0,104,0,5,157.45599737500015,157.45599737500015,0.009901792000164278,[-0.08777777777777777],[0.008888888888888889],[1],[0],[0],[0.869988458998705],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
105,0,105,0,5,158.3385867500001,158.3385867500001,0.009841166000114754,[0.014444444444444444],[-0.043333333333333335],[1],[0],[0],[0.9543910000011238],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
106,0,106,0,10,159.31552970900157,159.31552970900157,0.01782837500104506,[0.07222222222222222],[-0.21333333333333335],[1],[0],[0],[1.2328989590005222],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
107,0,107,0,10,160.5686107090005,160.5686107090005,0.017912458000864717,[0.20555555555555555],[0.15777777777777777],[1],[0],[0],[1.1468887080009154],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
108,0,108,0,10,161.73656958399988,161.73656958399988,0.01790212500054622,[0.4477777777777778],[0.2833333333333333],[1],[0],[0],[1.1788586670008954],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
109,0,109,0,10,162.93625712500034,162.93625712500034,0.017917499999384745,[-0.13777777777777778],[0.4911111111111111],[1],[0],[0],[1.7458707080004388],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
110,0,110,0,10,164.70146250000107,164.70146250000107,0.017608125001061126,[0.3233333333333333],[0.13],[1],[0],[0],[1.497113375000481],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
111,0,111,0,10,166.21961841700067,166.21961841700067,0.017866000000140048,[0.04],[-0.024444444444444446],[1],[0],[0],[1.1554076669999631],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
112,0,112,0,5,167.38418220899985,167.38418220899985,0.009590916999513865,[0.3088888888888889],[0.2733333333333333],[1],[0],[0],[1.109651708000456],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
